Entity,Code,Year,Freshwater use,Freshwater use
World,OWID_WRL,1901,671306983873,671306983873
World,OWID_WRL,1902,685160582511,685160582511
World,OWID_WRL,1903,655134883737,655134883737
World,OWID_WRL,1904,699576268956,699576268956
World,OWID_WRL,1905,700946862061,700946862061
World,OWID_WRL,1906,696602977599,696602977599
World,OWID_WRL,1907,731144772386,731144772386
World,OWID_WRL,1908,719471701227,719471701227
World,OWID_WRL,1909,728901391069,728901391069
World,OWID_WRL,1910,721299647144,721299647144
World,OWID_WRL,1911,745680720540,745680720540
World,OWID_WRL,1912,767006346937,767006346937
World,OWID_WRL,1913,815330197706,815330197706
World,OWID_WRL,1914,786612865433,786612865433
World,OWID_WRL,1915,795361689794,795361689794
World,OWID_WRL,1916,787231952020,787231952020
World,OWID_WRL,1917,775639802130,775639802130
World,OWID_WRL,1918,866090893167,866090893167
World,OWID_WRL,1919,836046221526,836046221526
World,OWID_WRL,1920,884507213764,884507213764
World,OWID_WRL,1921,843070029162,843070029162
World,OWID_WRL,1922,871840024725,871840024725
World,OWID_WRL,1923,871314812056,871314812056
World,OWID_WRL,1924,889083480856,889083480856
World,OWID_WRL,1925,924787108685,924787108685
World,OWID_WRL,1926,897784782426,897784782426
World,OWID_WRL,1927,942226756274,942226756274
World,OWID_WRL,1928,948217636750,948217636750
World,OWID_WRL,1929,971752096730,971752096730
World,OWID_WRL,1930,953917032232,953917032232
World,OWID_WRL,1931,933752708438,933752708438
World,OWID_WRL,1932,975080407692,975080407692
World,OWID_WRL,1933,947880055696,947880055696
World,OWID_WRL,1934,1001227847427,1001227847427
World,OWID_WRL,1935,1017967168166,1017967168166
World,OWID_WRL,1936,1030140139854,1030140139854
World,OWID_WRL,1937,1037521711280,1037521711280
World,OWID_WRL,1938,1068636917459,1068636917459
World,OWID_WRL,1939,1101694892511,1101694892511
World,OWID_WRL,1940,1110057100858,1110057100858
World,OWID_WRL,1941,1127967315874,1127967315874
World,OWID_WRL,1942,1118901725058,1118901725058
World,OWID_WRL,1943,1138661531039,1138661531039
World,OWID_WRL,1944,1142668949683,1142668949683
World,OWID_WRL,1945,1141481848418,1141481848418
World,OWID_WRL,1946,1177734201509,1177734201509
World,OWID_WRL,1947,1178084072050,1178084072050
World,OWID_WRL,1948,1183911222473,1183911222473
World,OWID_WRL,1949,1193998559818,1193998559818
World,OWID_WRL,1950,1226581492652,1226581492652
World,OWID_WRL,1951,1328106361712,1328106361712
World,OWID_WRL,1952,1379031417592,1379031417592
World,OWID_WRL,1953,1373804788386,1373804788386
World,OWID_WRL,1954,1372677661659,1372677661659
World,OWID_WRL,1955,1424773252538,1424773252538
World,OWID_WRL,1956,1457353328546,1457353328546
World,OWID_WRL,1957,1567294694315,1567294694315
World,OWID_WRL,1958,1576923377182,1576923377182
World,OWID_WRL,1959,1638316188497,1638316188497
World,OWID_WRL,1960,1751856694173,1751856694173
World,OWID_WRL,1961,1765317094855,1765317094855
World,OWID_WRL,1962,1836014016143,1836014016143
World,OWID_WRL,1963,1919424571799,1919424571799
World,OWID_WRL,1964,1946670963025,1946670963025
World,OWID_WRL,1965,2094529301420,2094529301420
World,OWID_WRL,1966,2155354004443,2155354004443
World,OWID_WRL,1967,2133103824801,2133103824801
World,OWID_WRL,1968,2349150276457,2349150276457
World,OWID_WRL,1969,2358734737509,2358734737509
World,OWID_WRL,1970,2362057426681,2362057426681
World,OWID_WRL,1971,2435749010145,2435749010145
World,OWID_WRL,1972,2547232873087,2547232873087
World,OWID_WRL,1973,2606315331685,2606315331685
World,OWID_WRL,1974,2724754347202,2724754347202
World,OWID_WRL,1975,2638242268253,2638242268253
World,OWID_WRL,1976,2739688119549,2739688119549
World,OWID_WRL,1977,2790536167979,2790536167979
World,OWID_WRL,1978,2991132085753,2991132085753
World,OWID_WRL,1979,3110120552704,3110120552704
World,OWID_WRL,1980,3073437838693,3073437838693
World,OWID_WRL,1981,3053974246703,3053974246703
World,OWID_WRL,1982,3067192207543,3067192207543
World,OWID_WRL,1983,3033538895562,3033538895562
World,OWID_WRL,1984,3115820776136,3115820776136
World,OWID_WRL,1985,3128754701301,3128754701301
World,OWID_WRL,1986,3233087696664,3233087696664
World,OWID_WRL,1987,3271390124759,3271390124759
World,OWID_WRL,1988,3338411792004,3338411792004
World,OWID_WRL,1989,3369048487620,3369048487620
World,OWID_WRL,1990,3321357298152,3321357298152
World,OWID_WRL,1991,3417687603175,3417687603175
World,OWID_WRL,1992,3319438058851,3319438058851
World,OWID_WRL,1993,3358249157599,3358249157599
World,OWID_WRL,1994,3464070203270,3464070203270
World,OWID_WRL,1995,3420212914562,3420212914562
World,OWID_WRL,1996,3338874861936,3338874861936
World,OWID_WRL,1997,3441859120538,3441859120538
World,OWID_WRL,1998,3495761711662,3495761711662
World,OWID_WRL,1999,3651048141907,3651048141907
World,OWID_WRL,2000,3785948890323,3785948890323
World,OWID_WRL,2001,3861642393124,3861642393124
World,OWID_WRL,2002,3806857575151,3806857575151
World,OWID_WRL,2003,3723071436326,3723071436326
World,OWID_WRL,2004,3852973536488,3852973536488
World,OWID_WRL,2005,3827437377208,3827437377208
World,OWID_WRL,2006,3992199319449,3992199319449
World,OWID_WRL,2007,4003664798444,4003664798444
World,OWID_WRL,2008,3948326264862,3948326264862
World,OWID_WRL,2009,4072946984929,4072946984929
World,OWID_WRL,2010,3871886184482,3871886184482
World,OWID_WRL,2014,3985681600000,3985681600000
